Price;Close;High;Low;Open;Volume
Ticker;BOVA11.SA;BOVA11.SA;BOVA11.SA;BOVA11.SA;BOVA11.SA
Date;;;;;
2023-06-09;113,20999908447266;113,8499984741211;112,44000244140625;112,5;7558415
2023-06-12;113,63999938964844;114,0;112,93000030517578;113,58999633789062;7289286
2023-06-13;112,94000244140625;114,13999938964844;112,66000366210938;113,9000015258789;6666769
2023-06-14;115,11000061035156;115,41000366210938;113,5;113,69000244140625;12413610
2023-06-15;115,4000015258789;115,91000366210938;114,9000015258789;115,08999633789062;12811360
2023-06-16;114,9000015258789;115,80000305175781;114,55999755859375;114,79000091552734;7560102
2023-06-19;116,12999725341797;116,25;114,69999694824219;114,69999694824219;5422980
2023-06-20;115,81999969482422;115,94000244140625;114,68000030517578;115,51000213623047;5857464
2023-06-21;116,2699966430664;116,77999877929688;115,55999755859375;115,77999877929688;4391740
2023-06-22;115,26000213623047;116,30000305175781;114,2699966430664;115,81999969482422;5497648
2023-06-23;115,30999755859375;115,68000030517578;114,48999786376953;115,19999694824219;3904942
2023-06-26;114,41999816894531;115,29000091552734;113,7699966430664;115,29000091552734;5390179
2023-06-27;113,7699966430664;115,44999694824219;112,87999725341797;115,30999755859375;7566418
2023-06-28;113,02999877929688;114,37999725341797;112,88999938964844;113,5999984741211;3756649
2023-06-29;114,91000366210938;114,95999908447266;113,2300033569336;113,30000305175781;5125552
2023-06-30;114,16999816894531;115,7699966430664;114,16999816894531;115,69999694824219;11077590
2023-07-03;115,94000244140625;116,0999984741211;114,75;114,9000015258789;4877031
2023-07-04;115,23999786376953;115,91999816894531;115,02999877929688;115,62000274658203;3640097
2023-07-05;115,83999633789062;118,05999755859375;114,8499984741211;114,8499984741211;7689489
2023-07-06;113,63999938964844;115,12999725341797;113,43000030517578;114,8499984741211;5969984
2023-07-07;115,19000244140625;115,87000274658203;114,0;114,0;5194573
2023-07-10;114,0999984741211;115,04000091552734;114,0999984741211;114,66000366210938;7146058
2023-07-11;113,80000305175781;114,06999969482422;112,04000091552734;113,97000122070312;5416875
2023-07-12;113,83000183105469;115,33000183105469;113,83000183105469;114,79000091552734;6296862
2023-07-13;115,58000183105469;116,0199966430664;114,33999633789062;114,5;8770063
2023-07-14;113,95999908447266;115,62000274658203;113,83999633789062;115,26000213623047;14824160
2023-07-17;114,70999908447266;114,70999908447266;112,94000244140625;113,38999938964844;5230074
2023-07-18;113,94999694824219;115,02999877929688;113,55000305175781;114,33999633789062;5750909
2023-07-19;113,75;114,33000183105469;112,93000030517578;113,45999908447266;5636677
2023-07-20;114,33999633789062;114,58000183105469;113,66999816894531;114,3499984741211;7919291
2023-07-21;116,4000015258789;116,6500015258789;114,4000015258789;114,44999694824219;8651985
2023-07-24;117,56999969482422;117,95999908447266;116,2699966430664;116,47000122070312;6794197
2023-07-25;117,9800033569336;119,16999816894531;117,9800033569336;118,97000122070312;5681391
2023-07-26;118,73999786376953;118,88999938964844;117,55000305175781;117,8499984741211;7270167
2023-07-27;116,04000091552734;118,80000305175781;116,0;118,66000366210938;6485811
2023-07-28;116,5199966430664;116,93000030517578;115,94999694824219;116,51000213623047;2943366
2023-07-31;117,94999694824219;118,33999633789062;117,1500015258789;117,2300033569336;3889613
2023-08-01;117,5199966430664;117,79000091552734;116,3499984741211;117,19999694824219;3444566
2023-08-02;117,01000213623047;117,47000122070312;115,97000122070312;116,91999816894531;6537586
2023-08-03;116,70999908447266;118,80000305175781;116,55000305175781;117,83000183105469;7527835
2023-08-04;115,66000366210938;117,6500015258789;115,45999908447266;115,79000091552734;6040417
2023-08-07;115,61000061035156;116,3499984741211;115,13999938964844;115,83999633789062;6527803
2023-08-08;115,2699966430664;115,8499984741211;113,94999694824219;114,0999984741211;4884622
2023-08-09;114,69999694824219;115,08000183105469;114,19000244140625;115,02999877929688;5981544
2023-08-10;114,51000213623047;115,69999694824219;114,37000274658203;115,2699966430664;5275962
2023-08-11;114,25;115,36000061035156;113,75;114,7300033569336;8695793
2023-08-14;113,30999755859375;114,12000274658203;112,94000244140625;113,9800033569336;4728049
2023-08-15;112,37000274658203;114,05000305175781;112,37000274658203;113,83999633789062;5730482
2023-08-16;111,87000274658203;113,7300033569336;111,87000274658203;112,93000030517578;8028362
2023-08-17;111,36000061035156;113,04000091552734;111,33999633789062;112,91000366210938;9331433
2023-08-18;111,69999694824219;112,16999816894531;110,98999786376953;111,12000274658203;8944196
2023-08-21;110,79000091552734;111,9000015258789;110,58000183105469;111,73999786376953;5997777
2023-08-22;112,41000366210938;112,70999908447266;111,58999633789062;111,73999786376953;9533506
2023-08-23;114,30000305175781;114,36000061035156;112,69999694824219;112,69999694824219;4366464
2023-08-24;113,30000305175781;114,48999786376953;113,18000030517578;114,13999938964844;5454803
2023-08-25;112,1500015258789;116,0999984741211;111,83000183105469;113,23999786376953;5959426
2023-08-28;113,5;113,66000366210938;112,20999908447266;112,52999877929688;4394771
2023-08-29;114,62000274658203;114,8499984741211;113,75;114,22000122070312;5273711
2023-08-30;113,9000015258789;115,12999725341797;113,80999755859375;114,83000183105469;5580688
2023-08-31;112,30999755859375;113,68000030517578;112,27999877929688;113,68000030517578;4068964
2023-09-01;114,05000305175781;114,30000305175781;112,80999755859375;112,81999969482422;5494823
2023-09-04;114,13999938964844;114,8499984741211;113,81999969482422;114,06999969482422;3126341
2023-09-05;113,62000274658203;114,30000305175781;112,97000122070312;113,48999786376953;3801923
2023-09-06;112,25;114,30999755859375;112,25;113,75;4406355
2023-09-08;111,66000366210938;112,0199966430664;111,2699966430664;111,63999938964844;3508422
2023-09-11;113,4800033569336;113,56999969482422;112,0999984741211;112,63999938964844;4603172
2023-09-12;114,22000122070312;114,5;113,38999938964844;113,5;3705776
2023-09-13;114,45999908447266;115,68000030517578;113,98999786376953;114,20999908447266;6248355
2023-09-14;115,58999633789062;116,04000091552734;115,05000305175781;115,19999694824219;5310662
2023-09-15;114,91999816894531;116,02999877929688;114,91999816894531;115,87999725341797;7279655
2023-09-18;114,6500015258789;115,7699966430664;114,44000244140625;115,2699966430664;10059015
2023-09-19;114,0999984741211;114,9000015258789;114,04000091552734;114,66999816894531;6332907
2023-09-20;115,02999877929688;116,0;114,58000183105469;114,5999984741211;5088757
2023-09-21;112,5999984741211;113,44999694824219;112,4800033569336;113,44999694824219;5934471
2023-09-22;112,61000061035156;113,41999816894531;112,30000305175781;113,33000183105469;3994514
2023-09-25;112,56999969482422;112,56999969482422;111,93000030517578;112,11000061035156;2741332
2023-09-26;110,6500015258789;111,9000015258789;110,6500015258789;111,9000015258789;5567555
2023-09-27;110,69999694824219;111,81999969482422;109,88999938964844;111,5;4850443
2023-09-28;112,18000030517578;112,41000366210938;110,56999969482422;110,56999969482422;3948319
2023-09-29;113,1500015258789;113,38999938964844;112,30000305175781;113,37000274658203;4237836
2023-10-02;111,48999786376953;113,13999938964844;111,2300033569336;112,63999938964844;4050713
2023-10-03;109,81999969482422;111,52999877929688;109,66000366210938;111,18000030517578;7808004
2023-10-04;110,18000030517578;110,68000030517578;109,58000183105469;110,16000366210938;3106290
2023-10-05;109,75;110,86000061035156;109,2699966430664;110,05999755859375;4169234
2023-10-06;110,66000366210938;110,98999786376953;108,19000244140625;108,9000015258789;3818695
2023-10-09;111,73999786376953;111,73999786376953;109,94999694824219;110,18000030517578;3158064
2023-10-10;113,12999725341797;113,36000061035156;111,98999786376953;112,0;3911645
2023-10-11;113,5;113,55000305175781;112,66000366210938;113,30999755859375;2993640
2023-10-13;112,05999755859375;113,44000244140625;112,05999755859375;113,1500015258789;3427278
2023-10-16;112,94000244140625;113,3499984741211;112,4800033569336;113,0;2198976
2023-10-17;112,33999633789062;113,3499984741211;112,01000213623047;112,18000030517578;4317978
2023-10-18;110,37000274658203;111,80000305175781;110,37000274658203;111,66000366210938;5727380
2023-10-19;110,5999984741211;111,62999725341797;110,45999908447266;110,45999908447266;6437818
2023-10-20;109,5;110,62999725341797;109,08000183105469;110,30000305175781;7300512
2023-10-23;109,3499984741211;110,25;108,7699966430664;109,0999984741211;4229233
